Subsequence: hk, Frequency: 1
Subsequence: fi, Frequency: 1
Subsequence: cf, Frequency: 1
Subsequence: kcc, Frequency: 1
Subsequence: iy, Frequency: 1
Subsequence: yy, Frequency: 1
Subsequence: fiy, Frequency: 1
Subsequence: iyy, Frequency: 1
Subsequence: cfi, Frequency: 1
Subsequence: yz, Frequency: 1
Subsequence: yyz, Frequency: 1
Subsequence: ze, Frequency: 1
Subsequence: cc, Frequency: 1
Subsequence: hkc, Frequency: 1
Subsequence: kc, Frequency: 1
Subsequence: ccf, Frequency: 1
Subsequence: yze, Frequency: 1
Subsequence: , Frequency: 45
